block_id,block_name,longitude_1,latitude_1,longitude_2,latitude_2,node_id_1,node_id_2,no_blocks,operational,distance_text,distance_value,duration_text,duration_value
612312,"Polk St (3100-3198)",37.8054164152,-122.4236028968,37.8061265339,-122.423746731,7001,7002,2,8,"0.1 km",106,"1 min",30
612311,"Polk St (3101-3199)",37.8057040837,-122.4238181452,37.8061154697,-122.4239016295,7001,7002,2,7,"0.1 km",106,"1 min",30
585092,"North Point St (900-998)",37.8055461678,-122.4221474552,37.8053721585,-122.4235153893,7002,7006,1,12,"0.1 km",146,"1 min",33
326081,"Beach St (801-899)",37.8063588815,-122.4223174412,37.8061868839,-122.4236763227,7001,7005,2,11,"0.1 km",147,"1 min",42
326082,"Beach St (800-898)",37.8064906457,-122.422378797,37.806295514,-122.4237306377,7001,7005,2,6,"0.1 km",147,"1 min",42
542301,"Larkin St (3001-3099)",37.8056739087,-122.4221102394,37.8062864615,-122.422233957,7005,7006,2,6,"0.1 km",107,"1 min",38
542302,"Larkin St (3000-3098)",37.8057312412,-122.4219865218,37.8063025548,-122.4221011869,7005,7006,2,7,"0.1 km",107,"1 min",38
326071,"Beach St (701-799)",37.8065670891,-122.4206920137,37.806398109,-122.422003621,7005,7010,2,15,"0.1 km",147,"1 min",44
326072,"Beach St (700-898)",37.8066928183,-122.4208137196,37.8065047274,-122.4222671495,7005,7010,2,19,"0.1 km",147,"1 min",44
472281,"Hyde St (2801-2899)",37.8068286059,-122.4206739087,37.8074823979,-122.4208026554,7009,7010,1,5,"0.1 km",105,"1 min",42
847052,"Jefferson St (500-598)",37.8076352847,-122.4209042446,37.8075688996,-122.4214463891,7004,7009,1,7,"0.1 km",95,"1 min",40
847042,"Jefferson St (400-498)",37.8077921947,-122.4194870247,37.8077157514,-122.4200834842,7009,7014,2,2,"0.1 km",148,"1 min",52
847041,"Jefferson St (401-499)",37.8077348622,-122.4192224904,37.807621203,-122.4201116476,7009,7014,2,5,"0.1 km",148,"1 min",52
326062,"Beach St (600-698)",37.806901026,-122.4190474754,37.8067803259,-122.4199476966,7010,7015,2,6,"0.1 km",147,"1 min",37
326061,"Beach St (641-699)",37.8066777308,-122.4198561658,37.8066113458,-122.420387246,7010,7015,2,1,"0.1 km",147,"1 min",37
546281,"Leavenworth St (2801-2849)",37.8069633876,-122.4189941662,37.8077016697,-122.4191450412,7014,7015,2,11,"0.1 km",104,"1 min",29
546282,"Leavenworth St (2800-2848)",37.8069905452,-122.4188664253,37.8071665661,-122.4189026353,7014,7015,2,3,"0.1 km",104,"1 min",29
363132,"Columbus Ave (1350-1398)",37.8064966807,-122.4190122712,37.8067038825,-122.4192939046,7010,7016,2,6,"0.2 km",216,"1 min",54
363131,"Columbus Ave (1297-1399)",37.8060551197,-122.4186702877,37.8066485617,-122.4195433514,7010,7016,2,13,"0.2 km",216,"1 min",54
546271,"Leavenworth St (2717-2799)",37.8060380205,-122.4188070811,37.8061335747,-122.4188271977,7015,7016,2,2,"0.1 km",106,"1 min",36
