node_id,longitude,latitude,block_name
7001,37.806249,-122.423884,"Beach and Polk"
7002,37.805304,-122.423686,"North Point and Polk"
7003,37.80438,-122.423482,"Bay and Polk"
7004,37.807517,-122.421851,"W. end of Jefferson"
7005,37.806461,-122.422216,"Beach and Larkin"
7006,37.80552,-122.422044,"North Point and Larkin"
7007,37.804588,-122.421862,"Bay and Larkin"
7008,37.808801,-122.421079,"N. end of Hyde"
7009,37.807614,-122.420768,"Jefferson and Hyde"
7010,37.806682,-122.42058,"Beach and Hyde"
7011,37.805762,-122.420408,"North Point and Hyde"
7012,37.804821,-122.420194,"Bay and Hyde"
7013,37.808322,-122.419212,"N. end of Leavenworth"
7014,37.807826,-122.41911,"Jefferson and Leavenworth"
7015,37.806893,-122.418944,"Beach and Leavenworth"
7016,37.80594,-122.418767,"North Point and Leavenworth"
7017,37.805512,-122.418686,"Midway 2700 block of Leavenworth"
7018,37.805007,-122.418568,"Bay and Leavenworth"
7019,37.808029,-122.417453,"Jefferson and Jones"
7020,37.807101,-122.417292,"Beach and Jones"
7021,37.80619,-122.417115,"North Point and Jones"
7022,37.805232,-122.416911,"Bay and Jones"
7023,37.808245,-122.415816,"Jefferson and Taylor"
7024,37.807309,-122.415639,"Beach and Taylor"
7025,37.806381,-122.415468,"North Point and Taylor"
7026,37.805444,-122.415275,"Bay and Taylor"
7027,37.808436,-122.414186,"Jefferson and Mason"
7028,37.807508,-122.414014,"Beach and Mason"
7029,37.806584,-122.413821,"North Point and Mason"
7030,37.805652,-122.413617,"Bay and Mason"
7031,37.805177,-122.413531,"Vandewater and Mason"
7032,37.808614,-122.412544,"Jefferson and Powell"
7033,37.807724,-122.412356,"Beach and Powell"
7034,37.806796,-122.412174,"North Point and Powell"
7035,37.805864,-122.411986,"Bay and Powell"
7036,37.807919,-122.410726,"Beach and Stockton"
7037,37.806991,-122.410538,"North Point and Stockton"
7038,37.806054,-122.410329,"Bay and Stockton"
7039,37.808114,-122.40911,"Beach and Grant"
7040,37.807188,-122.408925,"North Point and Grant"
